Date,USDAUD,USDCAD,USDCHF,USDEUR,USDGBP,USDJPY,USDNZD,USDSEK,USDSGD
1/1/2021,0.7694,0.785669,1.128541,1.2215,1.3672,0.00969,0.7188,0.12171099999999999,0.756487
1/4/2021,0.7665,0.7825949999999999,1.1344299999999998,1.2248,1.3571,0.009696,0.7176,0.121146,0.757232
1/5/2021,0.7759,0.789328,1.138434,1.2298,1.3627,0.009734999999999999,0.7252,0.122254,0.7589560000000001
1/6/2021,0.7802,0.78883,1.138304,1.2327,1.3608,0.009705,0.7294,0.122451,0.758783
1/7/2021,0.7769,0.78796,1.129944,1.2272,1.3568,0.009633,0.7255,0.122128,0.754945
1/8/2021,0.7757,0.7872779999999999,1.129305,1.2218,1.3568,0.009621,0.7242,0.12133900000000002,0.754432
1/11/2021,0.7697,0.7822279999999999,1.123217,1.2151,1.3518,0.009590999999999999,0.7163,0.120404,0.751371
1/12/2021,0.7772,0.78672,1.128159,1.2207,1.3664,0.009637999999999999,0.722,0.12128599999999999,0.755687
1/13/2021,0.7733,0.7875260000000001,1.12638,1.2157,1.3639,0.009626000000000001,0.7178,0.11979300000000001,0.7535229999999999
1/14/2021,0.7778,0.791139,1.125873,1.2155,1.3689,0.009634,0.7211,0.12035699999999999,0.754432
1/15/2021,0.7703,0.785423,1.122334,1.2082,1.359,0.009629,0.7133,0.119072,0.752049
1/18/2021,0.7681,0.783883,1.122586,1.2077,1.3587,0.009644,0.711,0.11916800000000001,0.751145
1/19/2021,0.7695,0.785238,1.125366,1.2129,1.3630000000000002,0.009625,0.7122,0.119769,0.752219
1/20/2021,0.7747,0.7913899999999999,1.123974,1.2106,1.3654,0.009658,0.7172,0.119717,0.754831
1/21/2021,0.7764,0.791327,1.129561,1.2164,1.3733,0.009662,0.7216,0.12089100000000001,0.755972
1/22/2021,0.7715,0.785361,1.129178,1.2171,1.3686,0.009636,0.7189,0.120511,0.752672
1/25/2021,0.7713,0.784929,1.125492,1.2139,1.3675,0.009639,0.7202,0.120736,0.753125
1/26/2021,0.7747,0.787774,1.127523,1.216,1.3736,0.009651,0.7236,0.12048199999999999,0.754888
1/27/2021,0.7663,0.781311,1.125113,1.2111,1.3687,0.009604999999999999,0.716,0.119629,0.752445
1/28/2021,0.7683,0.779423,1.125113,1.2122,1.3721,0.009593,0.7171,0.11996199999999999,0.752332
1/29/2021,0.7644,0.782656,1.123217,1.2136,1.3708,0.009553,0.7193,0.11953699999999999,0.752445
2/1/2021,0.7621,0.77815,1.114827,1.206,1.3663,0.00953,0.7158,0.118658,0.7502439999999999
2/2/2021,0.7607,0.782411,1.114454,1.2044,1.3668,0.009526,0.7192,0.119084,0.750638
2/3/2021,0.7618,0.782105,1.112223,1.2036,1.3647,0.009521,0.7209,0.118997,0.750188
2/4/2021,0.76,0.779606,1.10595,1.1964,1.3672,0.009475,0.7156,0.11813900000000001,0.747664
2/5/2021,0.7678,0.783945,1.112347,1.2046,1.3735,0.009489000000000001,0.7198,0.119457,0.7492880000000001
2/8/2021,0.7702,0.784991,1.112471,1.205,1.3741,0.009503,0.7223,0.119207,0.750356
2/9/2021,0.7739,0.787836,1.120699,1.2119,1.3817,0.009561,0.7242,0.120149,0.754205
2/10/2021,0.7722,0.7873399999999999,1.123091,1.2118,1.3834,0.009561,0.7216,0.12018800000000002,0.754034
2/11/2021,0.7752,0.787092,1.123469,1.213,1.3816,0.009547,0.7227,0.120143,0.754717
2/12/2021,0.7761,0.78765,1.121202,1.212,1.3849,0.009529000000000001,0.7223,0.12045399999999999,0.75466
2/15/2021,0.7781,0.7912020000000001,1.123217,1.2129,1.3903,0.009489000000000001,0.7227,0.120745,0.7558010000000001
2/16/2021,0.7758,0.788022,1.1204479999999999,1.2106,1.3903,0.00943,0.7215,0.120581,0.75358
2/17/2021,0.7751,0.7872779999999999,1.112471,1.2038,1.3857,0.009446,0.7191,0.120065,0.752559
2/18/2021,0.7768,0.788706,1.116196,1.2092,1.3975,0.009462,0.7221,0.120315,0.753466
2/19/2021,0.7869,0.7927069999999999,1.1156979999999999,1.2119,1.4016,0.009483,0.7299,0.120843,0.755287
2/22/2021,0.7916,0.7927069999999999,1.115947,1.2157,1.4063,0.009517,0.733,0.121004,0.756544
2/23/2021,0.7911,0.79447,1.10485,1.215,1.4113,0.009501,0.7340000000000001,0.12075,0.7574609999999999
2/24/2021,0.7968,0.7991689999999999,1.1031440000000001,1.2166,1.4141,0.009446,0.7436,0.12083900000000002,0.757748
2/25/2021,0.7873,0.793462,1.1052170000000001,1.2175,1.4015,0.009415,0.7373,0.120619,0.754318
2/26/2021,0.7706,0.785053,1.1007149999999999,1.2075,1.3933,0.009384,0.7233,0.118523,0.750413
3/1/2021,0.7772,0.790764,1.092657,1.2049,1.3925,0.009367,0.7265,0.118683,0.753069
3/2/2021,0.782,0.791452,1.093135,1.2091,1.3955,0.009373000000000001,0.7290000000000001,0.119333,0.75188
3/3/2021,0.7775,0.7902020000000001,1.087075,1.2063,1.3954,0.009345000000000001,0.7247,0.118728,0.750413
3/4/2021,0.7726,0.789453,1.076774,1.1969,1.3895,0.009261,0.7190000000000001,0.117751,0.747775
3/5/2021,0.7686,0.7899520000000001,1.076195,1.1915,1.3841,0.009233,0.7167,0.11714000000000001,0.745101
3/8/2021,0.765,0.789578,1.0681479999999999,1.1847,1.3824,0.009184000000000001,0.7129,0.11648599999999999,0.740302
3/9/2021,0.7714,0.7912640000000001,1.077935,1.1901,1.3892,0.009218,0.7167,0.117646,0.744269
3/10/2021,0.7736,0.792519,1.0755,1.1929,1.3932,0.009226999999999999,0.7196,0.117943,0.744158
3/11/2021,0.779,0.797894,1.082134,1.1986,1.3991,0.009216,0.7227,0.11838399999999999,0.7465470000000001
3/12/2021,0.7764,0.801603,1.075038,1.1953,1.3924,0.009172,0.7176,0.1179,0.74355
3/15/2021,0.7755,0.801796,1.0774700000000001,1.1929,1.39,0.009163,0.7194,0.117451,0.742997
3/16/2021,0.7746,0.803342,1.081432,1.1903,1.3891,0.009174,0.7188,0.117682,0.743163
3/17/2021,0.7798,0.806127,1.083776,1.1979,1.3966,0.009188,0.7242,0.118307,0.746213
3/18/2021,0.7759,0.800833,1.0784,1.1915,1.3925,0.009184000000000001,0.7167,0.11739200000000001,0.744214
3/19/2021,0.7742,0.8,1.076658,1.1904,1.3872,0.009184000000000001,0.7165,0.117067,0.745045
3/22/2021,0.7746,0.7985939999999999,1.083072,1.1933,1.3864,0.009187,0.7162,0.117498,0.74549
3/23/2021,0.7624,0.794407,1.0706639999999998,1.1849,1.3752,0.009209,0.6999,0.116372,0.7438819999999999
3/24/2021,0.7582,0.794976,1.068833,1.1813,1.3686,0.009197,0.6962,0.11610999999999999,0.742887
3/25/2021,0.758,0.792833,1.064056,1.1764,1.3734,0.009158,0.6949,0.115551,0.741455
3/26/2021,0.7637,0.7951020000000001,1.064849,1.1794,1.3789,0.009120999999999999,0.7,0.11575899999999999,0.743163
3/29/2021,0.7633,0.794218,1.0647360000000001,1.1765,1.3762,0.009106999999999999,0.6999,0.11497,0.74195
3/30/2021,0.7597,0.791515,1.061121,1.1717,1.374,0.009061,0.6981,0.11445799999999999,0.74195
3/31/2021,0.7598,0.7960520000000001,1.059771,1.173,1.3783,0.009032,0.6985,0.11454600000000001,0.7436050000000001
4/1/2021,0.7617,0.79694,1.061458,1.1777,1.3833,0.009040000000000001,0.7019,0.11475899999999999,0.743384
4/2/2021,0.7609999999999999,0.795039,1.061233,1.1759,1.3832,0.009034,0.7032,0.11459100000000001,0.742887
4/5/2021,0.7651,0.798403,1.0675780000000001,1.1813,1.39,0.009076,0.7059,0.11492000000000001,0.745101
4/6/2021,0.7664,0.795798,1.074229,1.1876,1.3824,0.009112,0.7059,0.11608299999999999,0.746826
4/7/2021,0.7614,0.793084,1.074922,1.1868,1.3737,0.009103,0.7013,0.11592100000000001,0.745545
4/8/2021,0.7653,0.7960520000000001,1.0815489999999999,1.1914,1.3735,0.009152,0.7056,0.11708099999999999,0.746046
4/9/2021,0.7623,0.798085,1.082017,1.1899,1.3707,0.009118000000000001,0.7033,0.11711500000000001,0.745434
4/12/2021,0.7623,0.795988,1.083658,1.1911,1.3741,0.009142,0.703,0.116632,0.745657
4/13/2021,0.7641,0.797766,1.0858940000000001,1.1948,1.375,0.009169,0.7053,0.117503,0.745545
4/14/2021,0.7728,0.798658,1.084011,1.198,1.3779,0.009179999999999999,0.7141,0.118125,0.748503
4/15/2021,0.7752,0.797257,1.083893,1.1967,1.3787,0.009195,0.7170000000000001,0.118283,0.7492880000000001
4/16/2021,0.7734,0.799488,1.086838,1.1983,1.3832,0.009191,0.7142,0.118552,0.7495689999999999
4/19/2021,0.7759,0.797766,1.0932549999999999,1.2037,1.3986,0.009245,0.7185,0.119065,0.75171
4/20/2021,0.7726,0.793084,1.091584,1.2036,1.3937,0.00925,0.7175,0.11856300000000002,0.7522760000000001
