DATE,USDSEK-USDEUR,USDSEK-USDNOK,USDNOK-USDEUR,USDTRY-USDMXN,USDMXN-USDCOP,USDAUD-USDCAD,USDNZD-USDCHF,USDNZD-USDAUD,USDNZD-USDSGD,USDSGD-USDCHF,USDSGD-USDAUD,USDINR-USDMXN,USDINR-USDCOP,USDINR-USDARS,USDCOP-USDKRW,USDCOP-USDCLP,USDCLP-USDINR,USDCLP-USDZAR,USDZAR-USDMXN,USDZAR-USDINR,USDZAR-USDCOP,USDXAU-USDCHF,USDXAU-USDSGD
12/31/91,1.185582,0.012934,1.198516,195.752273,0.324716,0.103002,0.194184,0.2219,0.072821,0.121363,0.149079,0.287383,0.037333,0.973371,0.000135,0.001228,0.036105,0.361629,0.038141,0.325524,0.362857,352.415516,352.536879
1/1/92,1.185582,0.012934,1.198516,195.752273,0.324716,0.103002,0.194184,0.2219,0.072821,0.121363,0.149079,0.287383,0.037333,0.973371,0.000135,0.001228,0.036105,0.361629,0.038141,0.325524,0.362857,352.415516,352.536879
1/2/92,1.186824,0.013273,1.200097,199.676271,0.322287,0.110732,0.194601,0.2197,0.076251,0.11835,0.143449,0.284957,0.03733,0.973374,0.000135,0.001301,0.036029,0.362154,0.041168,0.326125,0.363455,350.167399,350.285749
1/3/92,1.170764,0.013024,1.183788,199.676271,0.322287,0.113812,0.188339,0.2195,0.076706,0.111633,0.142794,0.284954,0.037333,0.973371,0.000135,0.001308,0.036025,0.359818,0.038839,0.323793,0.361126,352.273361,352.384994
1/6/92,1.185295,0.013393,1.198688,195.752486,0.324503,0.112161,0.19029,0.2115,0.062497,0.127793,0.149003,0.2872,0.037303,0.969828,0.000132,0.001308,0.035995,0.36208,0.038885,0.326085,0.363388,348.65871,348.786503
1/7/92,1.19082,0.013235,1.204055,199.674055,0.324503,0.115957,0.18968,0.2082,0.063506,0.126174,0.144694,0.28717,0.037333,0.969696,0.000133,0.001314,0.036019,0.362208,0.039019,0.326189,0.363522,348.95882,349.084994
1/8/92,1.189401,0.013323,1.202724,195.752486,0.324503,0.119344,0.190692,0.2062,0.065885,0.124807,0.140315,0.28717,0.037333,0.965443,0.000136,0.001313,0.03602,0.362408,0.039218,0.326388,0.363721,349.859808,349.984615
1/9/92,1.172949,0.013231,1.18618,195.752486,0.324503,0.124822,0.178766,0.2012,0.072223,0.106543,0.128977,0.28717,0.037333,0.957043,0.000137,0.001314,0.036019,0.360484,0.037295,0.324465,0.361798,350.826934,350.933477
1/10/92,1.149339,0.012586,1.161925,195.752486,0.324503,0.125226,0.167417,0.1998,0.073253,0.094164,0.126547,0.287215,0.037288,0.957088,0.000138,0.001314,0.035974,0.355026,0.031837,0.319052,0.35634,357.191283,357.285447
1/13/92,1.143984,0.012717,1.156701,191.981268,0.324982,0.128322,0.171205,0.198,0.06706,0.104145,0.13094,0.287679,0.037303,0.957073,0.000138,0.001314,0.035989,0.355667,0.031999,0.319678,0.356981,353.184795,353.28894
