Date,USDAUD,USDCAD,USDCHF,USDEUR,USDGBP,USDJPY,USDNZD,USDSEK,USDSGD
1/1/2021,0.765889,0.781635,1.133224,1.227926,1.357395,0.009677,0.716384,0.121788,0.753952
1/4/2021,0.767336,0.783241,1.12885,1.223958,1.356903,0.009681,0.717427,0.121497,0.754964
1/5/2021,0.768357,0.783517,1.127015,1.223862,1.357978,0.009685,0.717925,0.121702,0.755588
1/6/2021,0.767151,0.783178,1.1316,1.224962,1.358638,0.009691,0.71762,0.121282,0.756482
1/7/2021,0.774032,0.792538,1.136173,1.22809,1.362356,0.009717,0.723733,0.121947,0.758175
1/8/2021,0.777608,0.787566,1.136979,1.230159,1.360378,0.009698,0.725837,0.122103,0.758514
1/11/2021,0.776257,0.78785,1.128279,1.227192,1.358807,0.009667,0.7256,0.122117,0.756071
1/12/2021,0.776677,0.788724,1.126531,1.225352,1.357824,0.009655,0.724648,0.121527,0.755362
1/13/2021,0.77159,0.785,1.123116,1.21836,1.356367,0.009629,0.719124,0.120851,0.753003
1/14/2021,0.776387,0.786828,1.125062,1.22295,1.357993,0.00964,0.723316,0.121135,0.75463
1/15/2021,0.773889,0.787171,1.125267,1.216316,1.359665,0.009632,0.719442,0.120293,0.753347
1/18/2021,0.776169,0.78899,1.124979,1.215364,1.355851,0.009634,0.721012,0.120445,0.753985
1/19/2021,0.771482,0.789666,1.121417,1.211026,1.359483,0.009633,0.715629,0.119472,0.752657
1/20/2021,0.770605,0.785435,1.122122,1.209012,1.360015,0.009644,0.713879,0.119425,0.752116
1/21/2021,0.770173,0.786454,1.12413,1.212421,1.361449,0.009635,0.713329,0.119655,0.752151
1/22/2021,0.77181,0.788332,1.124163,1.211404,1.360518,0.009644,0.715819,0.119742,0.753571
1/25/2021,0.773979,0.788696,1.127049,1.212994,1.372397,0.009649,0.718055,0.120704,0.754417
1/26/2021,0.771937,0.787536,1.127871,1.215299,1.358967,0.009642,0.718051,0.120441,0.752564
1/27/2021,0.771727,0.786282,1.125572,1.214299,1.361333,0.009642,0.718274,0.120632,0.753279
1/28/2021,0.772898,0.787558,1.126164,1.21568,1.373943,0.009652,0.722022,0.120513,0.754337
1/29/2021,0.769027,0.783385,1.124912,1.214201,1.364903,0.009627,0.718651,0.12004,0.75301
2/1/2021,0.769606,0.781264,1.124666,1.213464,1.373411,0.009614,0.717853,0.120102,0.752578
2/2/2021,0.76559,0.782682,1.12383,1.213515,1.372545,0.009576,0.718928,0.119626,0.752575
2/3/2021,0.764512,0.779622,1.114871,1.209865,1.367533,0.009549,0.717351,0.119044,0.75112
2/4/2021,0.76263,0.78102,1.11299,1.208145,1.365947,0.009542,0.718233,0.118999,0.751365
2/5/2021,0.763013,0.781316,1.110461,1.207031,1.36586,0.009533,0.719302,0.118899,0.750195
2/8/2021,0.76105,0.779527,1.104611,1.200696,1.3644,0.009507,0.716345,0.118311,0.748072
2/9/2021,0.765234,0.782161,1.109093,1.205025,1.370553,0.009516,0.718732,0.11897,0.74922
2/10/2021,0.767458,0.783543,1.111047,1.205693,1.371671,0.009512,0.721499,0.119123,0.749539
2/11/2021,0.771145,0.78548,1.118751,1.209547,1.378161,0.009533,0.722704,0.119851,0.751488
2/12/2021,0.771596,0.786775,1.123388,1.210731,1.38164,0.009539,0.720895,0.120101,0.752046
2/15/2021,0.774199,0.787005,1.123806,1.211846,1.383539,0.009539,0.722824,0.120218,0.753641
2/16/2021,0.775721,0.787529,1.120781,1.212399,1.385739,0.009531,0.723139,0.120354,0.753917
2/17/2021,0.776654,0.789926,1.122654,1.212669,1.387744,0.009528,0.723063,0.120606,0.755054
2/18/2021,0.776591,0.78821,1.119983,1.211843,1.388844,0.009481,0.72157,0.120698,0.753668
2/19/2021,0.775578,0.788817,1.111775,1.208432,1.389574,0.009464,0.720466,0.120455,0.752813
